BOTTLE,20240829CCHHYDRO
33RR20220613  ,P02E       ,199     ,  1,20         ,20         ,2,20220711,2058,  32.3159,-118.7528,     1526,    469.6,2,   6.3278,2,  34.2834,2,  34.2860,2,     16.4,3,     16.6,2,    72.42,2,    38.36,2,     0.00,2,     2.95,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   6.3243,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6709,1,     -999,9,20220711,2138,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,19         ,39         ,2,20220711,2058,  32.3159,-118.7528,     1526,    520.0,2,   6.0495,2,  34.3095,2,  34.3121,2,     13.2,2,     13.2,2,    77.11,2,    39.21,2,     0.00,2,     3.01,2,    0.361,6,    0.201,6,   0.1472,6,   2317.7,2,   2320.2,2,   7.3177,2,    25.01,2,     -999,9,   6.0481,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6715,1,     53.3,6,20220711,2136,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,18         ,18         ,2,20220711,2058,  32.3159,-118.7528,     1526,    570.6,2,   5.9293,2,  34.3514,2,  34.3533,2,     10.7,2,     10.8,2,    80.33,2,    39.70,2,     0.00,2,     3.06,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   5.9162,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6713,1,     -999,9,20220711,2134,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,17         ,37         ,2,20220711,2058,  32.3159,-118.7528,     1526,    620.8,2,   5.6478,2,  34.3515,2,  34.3527,2,     11.0,3,     10.8,2,    84.24,2,    40.39,2,     0.00,2,     3.09,2,    0.180,2,    0.104,2,   0.1343,2,   2327.5,2,   2329.8,2,   7.3183,2,    24.99,2,     -999,9,   5.6502,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6723,1,     55.3,2,20220711,2132,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,16         ,16         ,2,20220711,2058,  32.3159,-118.7528,     1526,    671.5,2,   5.4867,2,  34.3709,2,  34.3733,2,     10.9,3,     10.5,2,    88.14,2,    40.86,2,     0.00,2,     3.12,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   5.4841,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6735,1,     -999,9,20220711,2130,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,15         ,15         ,2,20220711,2058,  32.3159,-118.7528,     1526,    721.8,2,   5.2317,2,  34.3913,2,  34.3943,2,     11.2,3,     11.6,2,    93.52,2,    41.25,2,     0.00,2,     3.14,2,    0.107,2,    0.069,2,   0.2819,2,   2340.3,2,   2343.1,2,   7.3226,2,    25.00,2,     -999,9,   5.2326,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6702,1,     55.3,2,20220711,2128,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,14         ,42         ,2,20220711,2058,  32.3159,-118.7528,     1526,    772.6,2,   5.0225,2,  34.4095,2,  34.4188,2,     11.9,3,     12.1,2,    98.79,2,    41.51,2,     0.00,2,     3.15,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   5.0215,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6677,1,     -999,9,20220711,2126,  32.3160,-118.7529,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,13         ,13         ,2,20220711,2058,  32.3159,-118.7528,     1526,    823.2,2,   4.8561,2,  34.4213,3,  34.4314,2,     12.7,3,     12.4,2,   102.12,2,    41.77,2,     0.00,2,     3.15,2,    0.084,2,    0.063,2,   0.5301,2,   2349.2,2,   2352.8,2,   7.3258,2,    24.99,2,     -999,9,   4.8526,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6675,1,     52.6,2,20220711,2124,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,12         ,12         ,2,20220711,2058,  32.3159,-118.7528,     1526,    874.0,2,   4.7063,2,  34.4310,2,  34.4330,2,     13.4,2,     13.4,2,   106.12,2,    41.74,2,     0.00,2,     3.17,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.6969,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6677,1,     -999,9,20220711,2122,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,11         ,11         ,2,20220711,2058,  32.3159,-118.7528,     1526,    924.2,2,   4.4971,2,  34.4479,2,  34.4575,2,     16.1,2,     16.0,2,   108.66,2,    42.38,2,     0.00,2,     3.16,2,    0.054,2,    0.043,2,   0.5715,2,   2353.1,2,   2361.2,2,   7.3314,2,    24.99,2,     -999,9,   4.4979,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6722,1,     55.0,2,20220711,2120,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,10         ,10         ,2,20220711,2058,  32.3159,-118.7528,     1526,    974.6,2,   4.3558,2,  34.4585,2,  34.4581,2,     16.6,2,     16.7,2,   113.45,2,    42.14,2,     0.00,2,     3.18,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.3546,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6695,1,     -999,9,20220711,2118,  32.3159,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,9          ,9          ,2,20220711,2058,  32.3159,-118.7528,     1526,   1025.3,2,   4.1797,2,  34.4725,2,  34.4736,2,     20.3,2,     20.1,2,   115.21,2,    42.69,2,     0.00,2,     3.15,2,    0.044,2,    0.043,2,   0.9622,2,   2360.1,2,   2370.2,2,   7.3414,2,    25.00,2,     -999,9,   4.1815,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6720,1,     51.2,2,20220711,2116,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,8          ,8          ,2,20220711,2058,  32.3159,-118.7528,     1526,   1075.9,2,   4.0573,2,  34.4815,2,  34.4811,2,     22.1,3,     22.4,2,   118.23,2,    42.72,2,     0.00,2,     3.14,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.0570,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6720,1,     -999,9,20220711,2114,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,7          ,7          ,2,20220711,2058,  32.3159,-118.7528,     1526,   1126.6,2,   3.8645,2,  34.4955,2,  34.4950,2,     25.3,2,     25.1,2,   122.24,2,    42.78,2,     0.00,2,     3.13,2,    0.049,2,    0.049,2,   1.1934,2,   2365.3,2,   2376.6,2,   7.3510,2,    24.99,2,     -999,9,   3.8661,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6703,1,     48.5,2,20220711,2112,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,6          ,6          ,2,20220711,2058,  32.3159,-118.7528,     1526,   1177.1,2,   3.7516,2,  34.5034,2,  34.5050,2,     27.1,2,     27.2,2,   125.76,2,    42.75,2,     0.00,2,     3.11,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   3.7517,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6667,1,     -999,9,20220711,2110,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,5          ,5          ,2,20220711,2058,  32.3159,-118.7528,     1526,   1227.7,2,   3.5780,2,  34.5159,2,  34.5166,2,     30.0,2,     30.2,2,   129.86,2,    42.69,2,     0.00,2,     3.11,2,    0.057,2,    0.075,2,   1.1137,2,   2369.7,2,   2385.4,2,   7.3595,2,    25.00,2,     -999,9,   3.5783,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6644,1,     50.2,2,20220711,2108,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,4          ,4          ,2,20220711,2058,  32.3159,-118.7528,     1526,   1313.7,2,   3.3530,2,  34.5321,2,  34.5313,2,     34.2,2,     34.2,2,   135.82,2,    42.45,2,     0.00,2,     3.11,2,    0.064,2,    0.125,2,   0.7674,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   3.3533,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6679,1,     46.3,2,20220711,2105,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,3          ,3          ,2,20220711,2058,  32.3159,-118.7528,     1526,   1415.7,2,   3.2607,2,  34.5400,2,  34.5396,2,     36.1,2,     36.0,2,   138.16,2,    42.35,2,     0.00,2,     3.08,2,    0.073,2,    0.166,2,   0.6281,2,   2377.4,2,   2395.2,2,   7.3739,2,    25.00,2,     -999,9,   3.2609,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6703,1,     44.0,2,20220711,2102,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,2          ,2          ,2,20220711,2058,  32.3159,-118.7528,     1526,   1496.5,2,   3.2329,2,  34.5426,2,  34.5431,2,     36.0,2,     36.1,2,   139.92,2,    42.17,2,     0.00,2,     3.09,2,    0.074,2,    0.212,2,   0.6715,2,   2379.5,2,   2397.4,6,     -999,1,     -999,1,     -999,9,   3.2325,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6655,1,     41.7,2,20220711,2100,  32.3159,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,199     ,  1,1          ,1          ,2,20220711,2058,  32.3159,-118.7528,     1526,   1531.4,2,   3.2322,2,  34.5428,2,  34.5441,2,     36.0,2,     35.8,2,   140.12,2,    42.32,2,     0.00,2,     3.08,2,    0.082,2,    0.222,2,   0.6934,2,   2376.9,6,   2398.6,2,     -999,1,     -999,1,     -999,9,   3.2325,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6643,1,     43.0,2,20220711,2058,  32.3160,-118.7528,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,12         ,12         ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.4,2,  19.6035,2,  33.6840,2,     -999,9,    243.9,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0318,1,   4.4013,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,20         ,20         ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.4,2,  19.6038,2,  33.6838,2,     -999,9,    244.2,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  19.6043,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0312,1,   4.3992,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,1
33RR20220613  ,P02E       ,200     ,  1,19         ,39         ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.5,2,  19.6051,2,  33.6838,2,     -999,9,    244.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0317,1,   4.4004,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,16         ,16         ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.6,2,  19.6044,2,  33.6835,2,     -999,9,    244.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0327,1,   4.3985,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,15         ,15         ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.6,2,  19.6025,2,  33.6831,2,     -999,9,    244.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0323,1,   4.4003,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,11         ,11         ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.6,2,  19.6037,2,  33.6839,2,     -999,9,    243.8,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0314,1,   4.4006,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,17         ,37         ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.7,2,  19.6048,2,  33.6839,2,     -999,9,    244.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0323,1,   4.3996,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,13         ,13         ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.7,2,  19.6033,2,  33.6840,2,     -999,9,    244.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0322,1,   4.4002,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,18         ,18         ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.8,2,  19.6045,2,  33.6838,2,     -999,9,    244.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0322,1,   4.4011,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,14         ,42         ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.8,2,  19.6029,2,  33.6834,2,     -999,9,    243.9,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0307,1,   4.3977,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,9          ,9          ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.9,2,  19.6041,2,  33.6840,2,     -999,9,    243.9,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  19.6020,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0321,1,   4.4010,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,1,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,10         ,10         ,2,20220712,0306,  32.6220,-118.6778,     1066,      3.9,2,  19.6045,2,  33.6841,2,     -999,9,    243.9,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0307,1,   4.3992,1,     -999,9,20220712,0336,  32.6220,-118.6778,-999          ,9,-999          ,1,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,8          ,8          ,2,20220712,0306,  32.6220,-118.6778,     1066,     40.6,2,  11.5420,2,  33.5923,2,     -999,9,    167.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  11.5548,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0649,1,   4.5619,1,     -999,9,20220712,0332,  32.6220,-118.6778,-999          ,1,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,7          ,7          ,2,20220712,0306,  32.6220,-118.6778,     1066,     75.7,2,   9.9868,2,  33.8198,2,     -999,9,    136.1,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   9.9851,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6602,1,     -999,9,20220712,0330,  32.6221,-118.6778,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,6          ,6          ,2,20220712,0306,  32.6220,-118.6778,     1066,    100.8,2,   9.5093,2,  33.9525,2,     -999,9,    128.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0128,1,   4.6605,1,     -999,9,20220712,0328,  32.6220,-118.6778,-999          ,9,-999          ,1,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,5          ,5          ,2,20220712,0306,  32.6220,-118.6778,     1066,    101.1,2,   9.5194,2,  33.9488,2,     -999,9,    127.8,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   9.5134,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6609,1,     -999,9,20220712,0328,  32.6220,-118.6778,-999          ,1,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,4          ,4          ,2,20220712,0306,  32.6220,-118.6778,     1066,    152.4,2,   8.9741,2,  34.0807,2,     -999,9,    101.1,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   8.9684,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6631,1,     -999,9,20220712,0324,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,3          ,3          ,2,20220712,0306,  32.6220,-118.6778,     1066,    202.0,2,   8.4310,2,  34.1261,2,     -999,9,     79.5,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   8.4319,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6630,1,     -999,9,20220712,0323,  32.6220,-118.6778,-999          ,9,-999          ,1,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,2          ,2          ,2,20220712,0306,  32.6220,-118.6778,     1066,    505.0,2,   6.2533,2,  34.3133,2,     -999,9,     13.6,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   6.2541,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6690,1,     -999,9,20220712,0316,  32.6221,-118.6778,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  1,1          ,1          ,2,20220712,0306,  32.6220,-118.6778,     1066,   1009.9,2,   4.1874,2,  34.4716,2,     -999,9,     17.1,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.1884,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6615,1,     -999,9,20220712,0306,  32.6221,-118.6778,-999          ,9,-999          ,1,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,26         ,26         ,2,20220712,0451,  32.6220,-118.6778,     1066,      3.5,2,  19.5624,2,  33.6712,2,  33.6762,2,    245.1,2,    243.7,2,     0.00,2,     0.00,2,     0.01,2,     0.12,2,    2.108,2,    1.248,2,   1.9585,2,   1993.2,6,   2250.6,2,   7.9824,2,    24.99,2,     -999,9,  19.5640,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,      4.6,2,   0.0391,1,   4.3732,1,      8.4,2,20220712,0546,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,25         ,25         ,2,20220712,0451,  32.6220,-118.6778,     1066,     20.4,2,  19.4157,2,  33.6751,3,  33.6547,2,    244.7,2,    245.9,2,     0.78,2,     0.14,2,     0.02,2,     0.17,2,    2.289,2,    1.379,2,   2.1149,2,   2009.1,2,   2248.5,6,   7.9549,2,    25.00,2,     -999,9,  19.4485,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,      4.7,2,   0.0384,1,   4.3800,1,     11.8,2,20220712,0543,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,24         ,24         ,2,20220712,0451,  32.6220,-118.6778,     1066,     40.5,2,  10.9602,2,  33.6203,2,  33.6299,2,    153.7,2,    153.8,2,    15.55,2,    17.59,2,     0.05,2,     1.49,2,    2.838,2,    1.732,2,   2.1068,2,   2150.0,2,   2232.6,2,   7.5782,2,    24.99,2,     -999,9,  10.9647,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     20.4,2,   0.0470,1,   4.6150,1,     22.6,2,20220712,0541,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,23         ,23         ,2,20220712,0451,  32.6220,-118.6778,     1066,     65.5,2,  10.1928,2,  33.7594,2,  33.7623,2,    139.8,2,    140.4,2,    20.04,2,    20.69,2,     0.00,2,     1.64,2,    2.866,2,    1.733,2,   1.9052,2,   2165.8,2,   2239.5,2,   7.5503,2,    24.99,2,     -999,9,  10.1932,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     23.8,2,   0.0161,1,   4.6575,1,     24.5,2,20220712,0539,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,200     ,  2,22         ,22         ,2,20220712,0451,  32.6220,-118.6778,     1066,     90.9,2,   9.6335,2,  33.9029,2,  33.9003,2,    132.6,2,    133.4,2,    23.95,2,    22.44,2,     0.00,2,     1.75,2,    2.838,2,    1.700,2,   1.6371,2,   2176.8,2,   2250.2,2,   7.5406,2,    24.98,2,     -999,9,   9.6330,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     24.3,2,   0.0134,1,   4.6610,1,     27.8,2,20220712,0536,  32.6220,-118.6778,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
